id,title,description,category
1,Organic Green Tea Bags,"Relax with a soothing cup of organic green tea, rich in antioxidants and individually wrapped for freshness.",Beauty
2,Noise Cancelling Headphones,Block out the world and dive into your music with these over-ear noise-cancelling headphones with deep bass.,Health & Personal Care
3,Wireless Gaming Mouse,Enhance your gaming experience with this wireless gaming mouse featuring customizable DPI and RGB lighting.,Home & Kitchen
4,Wooden Cutting Board Set,Prepare meals effortlessly with this set of premium wooden cutting boards in various sizes.,Home & Kitchen
5,Smart LED Light Bulb,Control your home lighting with your voice or app using this smart LED light bulb compatible with Alexa and Google Assistant.,Pet Supplies
6,Portable Power Bank 10000mAh,Charge your devices on the go with this compact and powerful 10000mAh portable power bank featuring dual USB ports.,Home & Kitchen
7,Car Phone Mount Holder,Keep your phone secure while driving with this adjustable car phone mount holder for dashboard or windshield.,Books
8,Women's Casual Handbag,Carry your essentials in style with this women's casual handbag made of premium faux leather.,Pet Supplies
9,Wireless Bluetooth Earbuds,Enjoy high-quality sound and hands-free calling with these wireless Bluetooth earbuds. Perfect for workouts and daily use.,Books
10,Pet Hair Remover Roller,Easily remove pet hair from furniture and clothing with this reusable pet hair remover roller.,Books
11,Women's Casual Handbag,Carry your essentials in style with this women's casual handbag made of premium faux leather.,Books
12,Memory Foam Pillow,Sleep better with this contoured memory foam pillow that provides neck and spine support.,Home & Kitchen
13,Rechargeable Electric Toothbrush,Improve oral hygiene with this rechargeable electric toothbrush featuring multiple brushing modes and a smart timer.,Pet Supplies
14,Ergonomic Office Chair,Work comfortably with this ergonomic office chair that features lumbar support and adjustable height.,Health & Personal Care
15,Men's Running Shoes,Run with comfort and style wearing these lightweight and breathable men's running shoes.,Pet Supplies
16,Portable Power Bank 10000mAh,Charge your devices on the go with this compact and powerful 10000mAh portable power bank featuring dual USB ports.,Automotive
17,Car Phone Mount Holder,Keep your phone secure while driving with this adjustable car phone mount holder for dashboard or windshield.,Beauty
18,Car Phone Mount Holder,Keep your phone secure while driving with this adjustable car phone mount holder for dashboard or windshield.,Clothing
19,Wooden Cutting Board Set,Prepare meals effortlessly with this set of premium wooden cutting boards in various sizes.,Automotive
20,Digital Alarm Clock with FM Radio,Wake up on time with this modern digital alarm clock that includes FM radio and dual alarms.,Electronics
21,Ergonomic Office Chair,Work comfortably with this ergonomic office chair that features lumbar support and adjustable height.,Automotive
22,Rechargeable Electric Toothbrush,Improve oral hygiene with this rechargeable electric toothbrush featuring multiple brushing modes and a smart timer.,Electronics
23,Stainless Steel Water Bottle,"Keep your drinks hot or cold for hours with this BPA-free, stainless steel water bottle. Ideal for travel and gym.",Books
24,Pet Hair Remover Roller,Easily remove pet hair from furniture and clothing with this reusable pet hair remover roller.,Automotive
25,Memory Foam Pillow,Sleep better with this contoured memory foam pillow that provides neck and spine support.,Health & Personal Care
